Date,Open,High,Low,Close,Adj Close,Volume
3/5/2021,3793.58,3851.69,3730.19,3841.94,3841.94,3320705802
3/8/2021,3844.39,3881.06,3819.25,3821.35,3821.35,2998653462
3/9/2021,3851.93,3903.76,3851.93,3875.44,3875.44,2786916293
3/10/2021,3891.99,3917.35,3885.73,3898.81,3898.81,2661081667
3/11/2021,3915.54,3960.27,3915.54,3939.34,3939.34,2570250267
3/12/2021,3924.52,3944.99,3915.21,3943.34,3943.34,2277434098
3/15/2021,3942.96,3970.08,3923.54,3968.94,3968.94,2393441121
3/16/2021,3973.59,3981.04,3953.44,3962.71,3962.71,2372381008
3/17/2021,3949.57,3983.87,3935.74,3974.12,3974.12,2458783556
3/18/2021,3953.5,3969.62,3910.86,3915.46,3915.46,2686354391
3/19/2021,3913.14,3930.12,3886.75,3913.1,3913.1,4647053019
3/22/2021,3916.48,3955.31,3914.16,3940.59,3940.59,2362949344
3/23/2021,3937.6,3949.13,3901.57,3910.52,3910.52,2494379928
3/24/2021,3919.93,3942.08,3889.07,3889.14,3889.14,2414378604
3/25/2021,3879.34,3919.54,3853.5,3909.52,3909.52,2385059895
3/26/2021,3917.12,3978.19,3917.12,3974.54,3974.54,2655374920
3/29/2021,3969.31,3981.83,3943.25,3971.09,3971.09,2418405500
3/30/2021,3963.34,3968.01,3944.35,3958.55,3958.55,2134267391
3/31/2021,3967.25,3994.41,3966.98,3972.89,3972.89,2420427567
4/1/2021,3992.78,4020.63,3992.78,4019.87,4019.87,2178187603
4/5/2021,4034.44,4083.42,4034.44,4077.91,4077.91,2241318486
4/6/2021,4075.57,4086.23,4068.14,4073.94,4073.94,2147071522
4/7/2021,4074.29,4083.13,4068.31,4079.95,4079.95,1963233249
4/8/2021,4089.95,4098.19,4082.54,4097.17,4097.17,2011933177
4/9/2021,4096.11,4129.48,4095.51,4128.8,4128.8,1880708120
4/12/2021,4124.71,4131.76,4114.82,4127.99,4127.99,1923094540
4/13/2021,4130.1,4148,4124.43,4141.59,4141.59,2060718961
4/14/2021,4141.58,4151.69,4120.87,4124.66,4124.66,2092018943
4/15/2021,4139.76,4173.49,4139.76,4170.42,4170.42,2130933628
4/16/2021,4174.14,4191.31,4170.75,4185.47,4185.47,2205786949
4/19/2021,4179.8,4180.81,4150.47,4163.26,4163.26,1999877307
4/20/2021,4159.18,4159.18,4118.38,4134.94,4134.94,2292083378
4/21/2021,4128.42,4175.02,4126.35,4173.42,4173.42,2126513143
4/22/2021,4170.46,4179.57,4123.69,4134.98,4134.98,2392241341
4/23/2021,4138.78,4194.17,4138.78,4180.17,4180.17,2008642236
4/26/2021,4185.03,4194.19,4182.36,4187.62,4187.62,1937952599
4/27/2021,4188.25,4193.35,4176.22,4186.72,4186.72,2034702320
4/28/2021,4185.14,4201.53,4181.78,4183.18,4183.18,2145349329
4/29/2021,4206.14,4218.78,4176.81,4211.47,4211.47,2502878449
4/30/2021,4198.1,4198.1,4174.85,4181.17,4181.17,2428162998
5/3/2021,4191.98,4209.39,4188.03,4192.66,4192.66,2182103434
5/4/2021,4179.04,4179.04,4128.59,4164.66,4164.66,2552420121
5/5/2021,4177.06,4187.72,4160.94,4167.59,4167.59,1769152889
5/6/2021,4169.14,4202.7,4147.33,4201.62,4201.62,2239080813
5/7/2021,4210.34,4238.04,4201.64,4232.6,4232.6,2048519190
5/10/2021,4228.29,4236.39,4188.13,4188.43,4188.43,2320014566
5/11/2021,4150.34,4162.04,4111.53,4152.1,4152.1,2432749321
5/12/2021,4130.55,4134.73,4056.88,4063.04,4063.04,2406683784
5/13/2021,4074.99,4131.58,4074.99,4112.5,4112.5,2163353723
5/14/2021,4129.58,4183.13,4129.58,4173.85,4173.85,1904970402
5/17/2021,4169.92,4171.92,4142.69,4163.29,4163.29,2278897644
5/18/2021,4165.94,4169.15,4125.99,4127.83,4127.83,2324677838
5/19/2021,4098.45,4116.93,4061.41,4115.68,4115.68,2414067271
5/20/2021,4121.97,4172.8,4121.97,4159.12,4159.12,2159532191
5/21/2021,4168.61,4188.72,4151.72,4155.86,4155.86,2196798084
5/24/2021,4170.16,4209.52,4170.16,4197.05,4197.05,1848676717
5/25/2021,4205.94,4213.42,4182.52,4188.13,4188.13,2117333013
5/26/2021,4191.59,4202.61,4184.11,4195.99,4195.99,2087338274
5/27/2021,4201.94,4213.38,4197.78,4200.88,4200.88,3407781249
5/28/2021,4210.77,4218.36,4203.57,4204.11,4204.11,1958464949
6/1/2021,4216.52,4234.12,4197.59,4202.04,4202.04,2096973335
6/2/2021,4206.82,4217.37,4198.27,4208.12,4208.12,2028836814
6/3/2021,4191.43,4204.39,4167.93,4192.85,4192.85,2194432214
